Class,Accuracy,Support
Benz C Class,0.7692307692307693,26
Benz C Class hybird,0.45454545454545453,22
Benz GLK Class,0.16666666666666666,12
Benz E Class,0.7297297297297297,37
Benz A Class AMG,0.631578947368421,19
Benz CLS Class AMG,0.4375,16
Benz C Class AMG,0.0,20
Benz GL Class AMG,0.0,2
Benz G Class AMG,0.0,4
Benz M Class AMG,1.0,1
Benz SLK Class AMG,0.9230769230769231,13
Benz SLS Class AMG,0.8846153846153846,26
Benz SL Class AMG,0.1,10
Benz S Class AMG,0.6923076923076923,26
Benz E Class AMG,0.5789473684210527,19
Benz CL Class AMG,0.0,2
Benz GLA Class AMG,0.5,2
Benz Vision AMG,0.5333333333333333,15
AMG GT,0.3333333333333333,3
Benz CLA Class AMG,0.375,16
Sprinter,0.391304347826087,23
Wei Yanuo,0.75,24
Wei Ting,0.12,25
Benz A Class,0.2,25
Benz CLA Class,0.4722222222222222,36
Benz CLS Class,0.12,25
Benz CLS Class Shooting Brake,0.25,8
Benz C Class estate,0.45454545454545453,11
Benz E Class convertible,0.7407407407407407,27
Benz E Class couple,0.38461538461538464,13
Benz GL Class,0.0,5
Benz G Class,0.0,1
Benz M Class,0.4827586206896552,29
Benz R Class,0.5,10
Benz SLK Class,0.5789473684210527,19
Benz SL Class,0.45454545454545453,22
Benz S Class,0.4,5
Benz S Class hybird,0.7428571428571429,35
Sprinter abroad version,0.8695652173913043,23
Style Coupe,0.7727272727272727,22
BlueZero,0.8484848484848485,33
Benz Citan,0.5,28
Benz F800,0.5294117647058824,34
Benz F125,0.6818181818181818,22
Benz GLA Class,0.6086956521739131,23
Benz E Class estate,0.7619047619047619,21
Biome,0.7741935483870968,31
Silver Arrow,0.9245283018867925,53
Benz S Class coupe,0.0,27
Coupe SUV,0.7380952380952381,42
Benz B Class,0.4230769230769231,26
Ener-G-Force,0.9375,16
Benz V Class,0.5714285714285714,14
Unimog,0.5,2
Audi A3 hatchback,0.6875,16
Audi A3 sedan,0.48148148148148145,27
Audi RS5,0.47619047619047616,21
Audi RS7,0.7391304347826086,23
Audi RS4,0.3103448275862069,29
Audi RS Q3,0.8181818181818182,22
Audi RS3,0.5555555555555556,18
Audi TT RS,0.42857142857142855,7
Audi RS6,0.25,4
Audi A1,0.47619047619047616,21
Audi A4L,0.6190476190476191,21
Audi A4 estate,0.631578947368421,19
Audi A5 coupe,0.0,4
Audi A5 hatchback,0.5384615384615384,13
Audi A6 hybrid,0.3,10
Audi A7,0.5,2
Audi A8L,0.5555555555555556,18
Audi A8L hybrid,0.3333333333333333,6
Audi A6L,0.0,1
Audi Q5 hybrid,0.125,8
Audi Q7,0.0,3
Audi R8,0.5217391304347826,23
Audi S5 convertible,0.0,3
Audi S5 coupe,0.9210526315789473,38
Audi S5 hatchback,0.8214285714285714,28
Audi S7,0.4583333333333333,24
Audi S8,0.9285714285714286,14
Audi Q3,0.36,25
Audi SQ5,0.8125,32
Audi TTS convertible,0.7083333333333334,24
Audi TTS coupe,0.5,30
Audi TT convertible,0.5833333333333334,36
Audi TT coupe,0.42857142857142855,7
Audi A2,0.5925925925925926,27
Audi quattro,0.4,20
Audi Urban,0.25,28
Audi Cross,0.6363636363636364,11
Audi Q5,0.8,15
Audi e-tron,0.0,3
Audi S3 hatchback,0.8888888888888888,9
Audi R18,0.5,2
Audi A3 convertible,0.0,7
Audi A3 e-tron,0.42857142857142855,7
Audi S1,0.375,8
Allroad,0.8571428571428571,7
Crosslane Coupe,0.25,8
Audi S3 sedan,0.3333333333333333,3
Audi S4,0.391304347826087,23
Nanuk,0.9285714285714286,28
Audi TT offroad,0.7037037037037037,27
Audi A6,0.2413793103448276,29
Wiesmann Roadster,0.625,16
Wiesmann Spyder,0.0,10
Wiesmann GT,0.2692307692307692,26
WeaLink H3,0.28,25
WeaLink V5,0.35714285714285715,28
WeaLink X5,0.6363636363636364,22
